{'gain': 0.5957397818565369, 'ugbw': 0.5627518773078919, 'pm': 0.5348877429962158, 'tset': 0.5404145121574402, 'psrr': 0.5146804928779601, 'cmrr': 0.462406450510025, 'offset_sys': 0.6098445534706116, 'ibias': 0.48111686706542967, 'total_acc': 0.9004029936672424, 'a1': 0.06451612903225806, 'a2': 0.03361344537815126, 'a3': 0.9313432835820895, 'a4': 0.9641532756489494, 'tt': 8, 'ff': 3120, 'tf': 116, 'ft': 230}
{'gain': 0.7892918586730957, 'ugbw': 0.7207829356193542, 'pm': 0.620610237121582, 'tset': 0.7363269925117493, 'psrr': 0.6007484197616577, 'cmrr': 0.37708693742752075, 'offset_sys': 0.764824390411377, 'ibias': 0.46229130029678345, 'total_acc': 0.9476108232584917, 'a1': 0.14516129032258066, 'a2': 0.19148936170212766, 'a3': 0.977313432835821, 'a4': 0.9686390532544379, 'tt': 18, 'ff': 3274, 'tf': 106, 'ft': 76}
{'gain': 0.6466896772384643, 'ugbw': 0.5953943610191345, 'pm': 0.5575129628181457, 'tset': 0.5882556080818176, 'psrr': 0.551525616645813, 'cmrr': 0.4297063827514648, 'offset_sys': 0.6449625849723816, 'ibias': 0.4389752447605133, 'total_acc': 0.9081750143926309, 'a1': 0.056451612903225805, 'a2': 0.03349282296650718, 'a3': 0.9397014925373134, 'a4': 0.9641653905053599, 'tt': 7, 'ff': 3148, 'tf': 117, 'ft': 202}
{'gain': 0.6879101991653442, 'ugbw': 0.5865860700607299, 'pm': 0.5905008673667907, 'tset': 0.6097869753837586, 'psrr': 0.5683937907218933, 'cmrr': 0.43229706883430485, 'offset_sys': 0.6690846323966979, 'ibias': 0.44478986263275144, 'total_acc': 0.9139320667818077, 'a1': 0.07258064516129033, 'a2': 0.046632124352331605, 'a3': 0.9450746268656717, 'a4': 0.9649497104541298, 'tt': 9, 'ff': 3166, 'tf': 115, 'ft': 184}
{'gain': 0.6883707642555237, 'ugbw': 0.6020725488662719, 'pm': 0.6015543937683105, 'tset': 0.6226252198219299, 'psrr': 0.5805411577224732, 'cmrr': 0.43408174514770514, 'offset_sys': 0.6658031105995179, 'ibias': 0.4744962573051453, 'total_acc': 0.9147956246401843, 'a1': 0.10483870967741936, 'a2': 0.06565656565656566, 'a3': 0.9447761194029851, 'a4': 0.9661172161172161, 'tt': 13, 'ff': 3165, 'tf': 111, 'ft': 185}
{'gain': 0.7055843353271485, 'ugbw': 0.640184223651886, 'pm': 0.6444444298744203, 'tset': 0.6737478256225586, 'psrr': 0.5707541823387147, 'cmrr': 0.43506045341491695, 'offset_sys': 0.6839378118515016, 'ibias': 0.48946459293365474, 'total_acc': 0.9326424870466321, 'a1': 0.06451612903225806, 'a2': 0.06349206349206349, 'a3': 0.964776119402985, 'a4': 0.965352449223417, 'tt': 8, 'ff': 3232, 'tf': 116, 'ft': 118}
{'gain': 0.7159470438957215, 'ugbw': 0.6445595860481261, 'pm': 0.6491076707839967, 'tset': 0.7039723634719849, 'psrr': 0.5723661541938782, 'cmrr': 0.446862405538559, 'offset_sys': 0.6908462882041931, 'ibias': 0.5355210185050964, 'total_acc': 0.9424294761082326, 'a1': 0.10483870967741936, 'a2': 0.12745098039215685, 'a3': 0.9734328358208956, 'a4': 0.9670818505338078, 'tt': 13, 'ff': 3261, 'tf': 111, 'ft': 89}
{'gain': 0.7953367829322815, 'ugbw': 0.7233736515045166, 'pm': 0.5880829095840454, 'tset': 0.7397812604904175, 'psrr': 0.5972942113876343, 'cmrr': 0.36269429326057434, 'offset_sys': 0.7556131482124329, 'ibias': 0.4467472732067108, 'total_acc': 0.9490500863557858, 'a1': 0.11290322580645161, 'a2': 0.1728395061728395, 'a3': 0.98, 'a4': 0.9675803124078987, 'tt': 14, 'ff': 3283, 'tf': 110, 'ft': 67}
{'gain': 0.7913068532943726, 'ugbw': 0.712435245513916, 'pm': 0.6200345158576965, 'tset': 0.7475532293319702, 'psrr': 0.5987334251403809, 'cmrr': 0.3459988534450531, 'offset_sys': 0.754749596118927, 'ibias': 0.4438687264919281, 'total_acc': 0.953943580886586, 'a1': 0.12903225806451613, 'a2': 0.23529411764705882, 'a3': 0.9844776119402985, 'a4': 0.9682912507339988, 'tt': 16, 'ff': 3298, 'tf': 108, 'ft': 52}
{'gain': 0.7884283065795898, 'ugbw': 0.7199193835258484, 'pm': 0.5949913859367371, 'tset': 0.7510074973106384, 'psrr': 0.583477258682251, 'cmrr': 0.33534830808639526, 'offset_sys': 0.7579159736633301, 'ibias': 0.4168106019496918, 'total_acc': 0.9432930339666091, 'a1': 0.14516129032258066, 'a2': 0.1651376146788991, 'a3': 0.9728358208955223, 'a4': 0.9684992570579495, 'tt': 18, 'ff': 3259, 'tf': 106, 'ft': 91}
{'gain': 0.7864133715629578, 'ugbw': 0.7596430778503418, 'pm': 0.6609095931053162, 'tset': 0.7610823512077332, 'psrr': 0.617443859577179, 'cmrr': 0.37478411197662354, 'offset_sys': 0.7760506868362427, 'ibias': 0.5005757212638855, 'total_acc': 0.9450201496833621, 'a1': 0.14516129032258066, 'a2': 0.17475728155339806, 'a3': 0.9746268656716418, 'a4': 0.9685553248294275, 'tt': 18, 'ff': 3265, 'tf': 106, 'ft': 85}
{'gain': 0.795912504196167, 'ugbw': 0.7374784350395203, 'pm': 0.6021876931190491, 'tset': 0.7705814838409424, 'psrr': 0.6036269664764404, 'cmrr': 0.32095566391944885, 'offset_sys': 0.7524467706680298, 'ibias': 0.44300517439842224, 'total_acc': 0.941565918249856, 'a1': 0.1693548387096774, 'a2': 0.17355371900826447, 'a3': 0.9701492537313433, 'a4': 0.9692812406799881, 'tt': 21, 'ff': 3250, 'tf': 103, 'ft': 100}
{'gain': 0.7895797491073608, 'ugbw': 0.7501439452171326, 'pm': 0.5929763913154602, 'tset': 0.76799076795578, 'psrr': 0.5898100137710571, 'cmrr': 0.32095566391944885, 'offset_sys': 0.7466896772384644, 'ibias': 0.42227980494499207, 'total_acc': 0.9427173287276914, 'a1': 0.20967741935483872, 'a2': 0.2047244094488189, 'a3': 0.9698507462686567, 'a4': 0.9707200478040036, 'tt': 26, 'ff': 3249, 'tf': 98, 'ft': 101}
{'gain': 0.7944732308387756, 'ugbw': 0.73200923204422, 'pm': 0.5967184901237488, 'tset': 0.7478411197662354, 'psrr': 0.599021315574646, 'cmrr': 0.32383421063423157, 'offset_sys': 0.7530224323272705, 'ibias': 0.4234312176704407, 'total_acc': 0.943580886586068, 'a1': 0.16129032258064516, 'a2': 0.17857142857142858, 'a3': 0.9725373134328358, 'a4': 0.9690660321237359, 'tt': 20, 'ff': 3258, 'tf': 104, 'ft': 92}
{'gain': 0.7930339574813843, 'ugbw': 0.7343120574951172, 'pm': 0.5912492871284485, 'tset': 0.7501439452171326, 'psrr': 0.5998848676681519, 'cmrr': 0.337075412273407, 'offset_sys': 0.7622337341308594, 'ibias': 0.4208405315876007, 'total_acc': 0.9473229706390328, 'a1': 0.24193548387096775, 'a2': 0.25210084033613445, 'a3': 0.9734328358208956, 'a4': 0.9719821162444113, 'tt': 30, 'ff': 3261, 'tf': 94, 'ft': 89}
{'gain': 0.783534824848175, 'ugbw': 0.7130109667778015, 'pm': 0.5863558053970337, 'tset': 0.7567645311355591, 'psrr': 0.5895221829414368, 'cmrr': 0.327288419008255, 'offset_sys': 0.7559009790420532, 'ibias': 0.39752447605133057, 'total_acc': 0.945308002302821, 'a1': 0.18548387096774194, 'a2': 0.20535714285714285, 'a3': 0.9734328358208956, 'a4': 0.9699583581201666, 'tt': 23, 'ff': 3261, 'tf': 101, 'ft': 89}
{'gain': 0.7898675799369812, 'ugbw': 0.765975832939148, 'pm': 0.6571675539016724, 'tset': 0.7985031604766846, 'psrr': 0.6183074116706848, 'cmrr': 0.3641335666179657, 'offset_sys': 0.7610823512077332, 'ibias': 0.5094991326332092, 'total_acc': 0.9536557282671272, 'a1': 0.14516129032258066, 'a2': 0.2465753424657534, 'a3': 0.9835820895522388, 'a4': 0.9688326962658041, 'tt': 18, 'ff': 3295, 'tf': 106, 'ft': 55}
{'gain': 0.7823834419250488, 'ugbw': 0.7567645311355591, 'pm': 0.6427748799324036, 'tset': 0.7818077206611633, 'psrr': 0.6249280571937561, 'cmrr': 0.3641335666179657, 'offset_sys': 0.7417961955070496, 'ibias': 0.48762235045433044, 'total_acc': 0.9401266551525619, 'a1': 0.12096774193548387, 'a2': 0.13157894736842105, 'a3': 0.9704477611940299, 'a4': 0.9675595238095238, 'tt': 15, 'ff': 3251, 'tf': 109, 'ft': 99}
