{'gain': 0.5957397818565369, 'ugbw': 0.5627518773078919, 'pm': 0.5348877429962158, 'tset': 0.5404145121574402, 'psrr': 0.5146804928779601, 'cmrr': 0.462406450510025, 'offset_sys': 0.6098445534706116, 'ibias': 0.48111686706542967, 'total_acc': 0.9004029936672424, 'a1': 0.06451612903225806, 'a2': 0.03361344537815126, 'a3': 0.9313432835820895, 'a4': 0.9641532756489494, 'tt': 8, 'ff': 3120, 'tf': 116, 'ft': 230}
{'gain': 0.6466896772384643, 'ugbw': 0.5953943610191345, 'pm': 0.5575129628181457, 'tset': 0.5882556080818176, 'psrr': 0.551525616645813, 'cmrr': 0.4297063827514648, 'offset_sys': 0.6449625849723816, 'ibias': 0.4389752447605133, 'total_acc': 0.9081750143926309, 'a1': 0.056451612903225805, 'a2': 0.03349282296650718, 'a3': 0.9397014925373134, 'a4': 0.9641653905053599, 'tt': 7, 'ff': 3148, 'tf': 117, 'ft': 202}
{'gain': 0.6879101991653442, 'ugbw': 0.5865860700607299, 'pm': 0.5905008673667907, 'tset': 0.6097869753837586, 'psrr': 0.5683937907218933, 'cmrr': 0.43229706883430485, 'offset_sys': 0.6690846323966979, 'ibias': 0.44478986263275144, 'total_acc': 0.9139320667818077, 'a1': 0.07258064516129033, 'a2': 0.046632124352331605, 'a3': 0.9450746268656717, 'a4': 0.9649497104541298, 'tt': 9, 'ff': 3166, 'tf': 115, 'ft': 184}
{'gain': 0.6883707642555237, 'ugbw': 0.6020725488662719, 'pm': 0.6015543937683105, 'tset': 0.6226252198219299, 'psrr': 0.5805411577224732, 'cmrr': 0.43408174514770514, 'offset_sys': 0.6658031105995179, 'ibias': 0.4744962573051453, 'total_acc': 0.9147956246401843, 'a1': 0.10483870967741936, 'a2': 0.06565656565656566, 'a3': 0.9447761194029851, 'a4': 0.9661172161172161, 'tt': 13, 'ff': 3165, 'tf': 111, 'ft': 185}
{'gain': 0.7055843353271485, 'ugbw': 0.640184223651886, 'pm': 0.6444444298744203, 'tset': 0.6737478256225586, 'psrr': 0.5707541823387147, 'cmrr': 0.43506045341491695, 'offset_sys': 0.6839378118515016, 'ibias': 0.48946459293365474, 'total_acc': 0.9326424870466321, 'a1': 0.06451612903225806, 'a2': 0.06349206349206349, 'a3': 0.964776119402985, 'a4': 0.965352449223417, 'tt': 8, 'ff': 3232, 'tf': 116, 'ft': 118}
{'gain': 0.7159470438957215, 'ugbw': 0.6445595860481261, 'pm': 0.6491076707839967, 'tset': 0.7039723634719849, 'psrr': 0.5723661541938782, 'cmrr': 0.446862405538559, 'offset_sys': 0.6908462882041931, 'ibias': 0.5355210185050964, 'total_acc': 0.9424294761082326, 'a1': 0.10483870967741936, 'a2': 0.12745098039215685, 'a3': 0.9734328358208956, 'a4': 0.9670818505338078, 'tt': 13, 'ff': 3261, 'tf': 111, 'ft': 89}
{'gain': 0.6657455325126647, 'ugbw': 0.6509499192237853, 'pm': 0.6231433510780334, 'tset': 0.640184223651886, 'psrr': 0.6067933201789857, 'cmrr': 0.45613126754760736, 'offset_sys': 0.67426598072052, 'ibias': 0.5584340691566467, 'total_acc': 0.9211283822682786, 'a1': 0.10483870967741936, 'a2': 0.07386363636363637, 'a3': 0.9513432835820895, 'a4': 0.9663432383262583, 'tt': 13, 'ff': 3187, 'tf': 111, 'ft': 163}
{'gain': 0.7278641223907472, 'ugbw': 0.6749568104743958, 'pm': 0.6620034575462341, 'tset': 0.6894645929336548, 'psrr': 0.602130115032196, 'cmrr': 0.4179620027542114, 'offset_sys': 0.7207253813743592, 'ibias': 0.5203223943710327, 'total_acc': 0.9404145077720207, 'a1': 0.10483870967741936, 'a2': 0.11926605504587157, 'a3': 0.9713432835820895, 'a4': 0.9670133729569094, 'tt': 13, 'ff': 3254, 'tf': 111, 'ft': 96}
{'gain': 0.7352907299995423, 'ugbw': 0.6939550995826722, 'pm': 0.6794473171234132, 'tset': 0.6950489163398742, 'psrr': 0.6193437099456787, 'cmrr': 0.42717328071594235, 'offset_sys': 0.7302245378494263, 'ibias': 0.5076568961143494, 'total_acc': 0.9349453080023028, 'a1': 0.16129032258064516, 'a2': 0.14084507042253522, 'a3': 0.9635820895522388, 'a4': 0.9687875150060024, 'tt': 20, 'ff': 3228, 'tf': 104, 'ft': 122}
{'gain': 0.7374784231185912, 'ugbw': 0.7112262487411499, 'pm': 0.6819804310798645, 'tset': 0.6988485932350159, 'psrr': 0.6244674682617188, 'cmrr': 0.4263673007488251, 'offset_sys': 0.7332757592201232, 'ibias': 0.49602763056755067, 'total_acc': 0.9366724237190558, 'a1': 0.12096774193548387, 'a2': 0.11904761904761904, 'a3': 0.966865671641791, 'a4': 0.9674432497013142, 'tt': 15, 'ff': 3239, 'tf': 109, 'ft': 111}
{'gain': 0.7367300033569336, 'ugbw': 0.709268844127655, 'pm': 0.6723085761070251, 'tset': 0.6823834180831909, 'psrr': 0.6256764650344848, 'cmrr': 0.42619459033012386, 'offset_sys': 0.7347725868225097, 'ibias': 0.4961427688598633, 'total_acc': 0.9378238341968912, 'a1': 0.08064516129032258, 'a2': 0.08928571428571429, 'a3': 0.9695522388059702, 'a4': 0.9660916121356335, 'tt': 10, 'ff': 3248, 'tf': 114, 'ft': 102}
